Name,Notiz,Produzent,Herkunft,Einheit
Braune Linsen,CH KN,Biofarm,Schweiz,1kg
Ceci neri Bio origine Italia,,Terra Verde,Italien,500g
Grüne Linsen,CH KN,Biofarm,Schweiz,1kg
Kichererbsen,CH KN,Biofarm,Schweiz,1kg
Menut Kichererbsen,,Orliva,Spanien (Katalonien),1kg
Rote Linsen,,Orliva,Spanien (Katalonien),1kg
Schwarze Linsen,CH KN,Biofarm,Schweiz,1kg
